Date : 2022-11-03 22:11:48
Directory : /home/deus/projects/zoxel/Source
Total : 136 files,  3657 codes, 1186 comments, 356 blanks, all 5199 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |        132 |      3,612 |      1,111 |        342 |      5,065 |
| C++      |          3 |         45 |         51 |         13 |        109 |
| Makefile |          1 |          0 |         24 |          1 |         25 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        136 |      3,657 |      1,186 |        356 |      5,199 |
| Core                                                                                               |         64 |      2,200 |        559 |        234 |      2,993 |
| Core/App                                                                                           |          3 |        237 |         43 |         22 |        302 |
| Core/App/Util                                                                                      |          2 |        224 |         42 |         20 |        286 |
| Core/Cameras                                                                                       |          7 |        169 |         52 |         13 |        234 |
| Core/Cameras/Prefabs                                                                               |          2 |         23 |          2 |          2 |         27 |
| Core/Cameras/Systems                                                                               |          3 |         74 |         17 |          3 |         94 |
| Core/Cameras/Util                                                                                  |          1 |         40 |         15 |          5 |         60 |
| Core/Core                                                                                          |         13 |        594 |         69 |         71 |        734 |
| Core/Core/Data                                                                                     |          7 |        183 |         21 |         24 |        228 |
| Core/Core/Systems                                                                                  |          1 |         18 |          4 |          1 |         23 |
| Core/Core/tests                                                                                    |          1 |         72 |          0 |          2 |         74 |
| Core/Core/Util                                                                                     |          3 |        287 |         34 |         41 |        362 |
| Core/Inputs                                                                                        |          9 |        384 |         21 |         19 |        424 |
| Core/Inputs/Components                                                                             |          4 |         60 |          8 |          2 |         70 |
| Core/Inputs/Data                                                                                   |          2 |          6 |          1 |          1 |          8 |
| Core/Inputs/Systems                                                                                |          2 |        297 |          8 |         13 |        318 |
| Core/Networking                                                                                    |          1 |          0 |          0 |          1 |          1 |
| Core/Rendering                                                                                     |         24 |        740 |        347 |         99 |      1,186 |
| Core/Rendering/Core                                                                                |         10 |        134 |         54 |         17 |        205 |
| Core/Rendering/Core/Components                                                                     |          5 |         47 |         12 |          9 |         68 |
